,survived,pclass,sex,age,sibsp,parch,fare,embarked,class,who,adult_male,deck,embark_town,alive,alone
0,0,3,male,22.00,1,0,7.25,S,Third,man,TRUE,,Southampton,no,FALSE
1,1,1,female,38.00,1,0,71.2833,C,First,woman,FALSE,C,Cherbourg,yes,FALSE
2,1,3,female,26.00,0,0,7.925,S,Third,woman,FALSE,,Southampton,yes,TRUE
3,1,1,female,35.00,1,0,53.1,S,First,woman,FALSE,C,Southampton,yes,FALSE
4,0,3,male,35.00,0,0,8.05,S,Third,man,TRUE,,Southampton,no,TRUE
5,0,3,male,,0,0,8.4583,Q,Third,man,TRUE,,Queenstown,no,TRUE
6,0,1,male,54.00,0,0,51.8625,S,First,man,TRUE,E,Southampton,no,TRUE
7,0,3,male,2.00,3,1,21.075,S,Third,child,FALSE,,Southampton,no,FALSE
8,1,3,female,27.00,0,2,11.1333,S,Third,woman,FALSE,,Southampton,yes,FALSE
9,1,2,female,14.00,1,0,30.0708,C,Second,child,FALSE,,Cherbourg,yes,FALSE
10,1,3,female,4.00,1,1,16.7,S,Third,child,FALSE,G,Southampton,yes,FALSE
11,1,1,female,58.00,0,0,26.55,S,First,woman,FALSE,C,Southampton,yes,TRUE
12,0,3,male,20.00,0,0,8.05,S,Third,man,TRUE,,Southampton,no,TRUE
13,0,3,male,39.00,1,5,31.275,S,Third,man,TRUE,,Southampton,no,FALSE
14,0,3,female,14.00,0,0,7.8542,S,Third,child,FALSE,,Southampton,no,TRUE
15,1,2,female,-55.00,0,0,16,S,Second,woman,FALSE,,Southampton,yes,TRUE
16,0,3,male,2.00,4,1,29.125,Q,Third,child,FALSE,,Queenstown,no,FALSE
17,1,2,male,,0,0,13,S,Second,man,TRUE,,Southampton,yes,TRUE
18,0,3,female,31.00,1,0,18,S,Third,woman,FALSE,,Southampton,no,FALSE
19,1,3,female,,0,0,7.225,C,Third,woman,FALSE,,Cherbourg,yes,TRUE
20,0,2,male,35.00,0,0,26,S,Second,man,TRUE,,Southampton,no,TRUE
21,1,2,male,34.00,0,0,13,S,Second,man,TRUE,D,Southampton,yes,TRUE
22,1,3,female,15.00,0,0,8.0292,Q,Third,child,FALSE,,Queenstown,yes,TRUE
23,1,1,male,28.00,0,0,35.5,S,First,man,TRUE,A,Southampton,yes,TRUE
24,0,3,female,8.00,3,1,21.075,S,Third,child,FALSE,,Southampton,no,FALSE
25,1,3,female,38.00,1,5,31.3875,S,Third,woman,FALSE,,Southampton,yes,FALSE
26,0,3,male,,0,0,7.225,C,Third,man,TRUE,,Cherbourg,no,TRUE
27,0,1,male,19.00,3,2,263,S,First,man,TRUE,C,Southampton,no,FALSE
28,1,3,female,,0,0,7.8792,Q,Third,woman,FALSE,,Queenstown,yes,TRUE
29,0,3,male,,0,0,7.8958,S,Third,man,TRUE,,Southampton,no,TRUE
30,0,1,male,40.00,0,0,27.7208,C,First,man,TRUE,,Cherbourg,no,TRUE
31,1,1,female,,1,0,146.5208,C,First,woman,FALSE,B,Cherbourg,yes,FALSE
32,1,3,female,,0,0,7.75,Q,Third,woman,FALSE,,Queenstown,yes,TRUE
33,0,2,male,66.00,0,0,10.5,S,Second,man,TRUE,,Southampton,no,TRUE
34,0,1,male,28.00,1,0,82.1708,C,First,man,TRUE,,Cherbourg,no,FALSE
35,0,1,male,42.00,1,0,52,S,First,man,TRUE,,Southampton,no,FALSE
36,1,3,male,,0,0,7.2292,C,Third,man,TRUE,,Cherbourg,yes,TRUE
37,0,3,male,21.00,0,0,8.05,S,Third,man,TRUE,,Southampton,no,TRUE
38,0,3,female,18.00,2,0,18,S,Third,woman,FALSE,,Southampton,no,FALSE
39,1,3,female,14.00,1,0,11.2417,C,Third,child,FALSE,,Cherbourg,yes,FALSE
40,0,3,female,40.00,1,0,9.475,S,Third,woman,FALSE,,Southampton,no,FALSE
41,0,2,female,27.00,1,0,21,S,Second,woman,FALSE,,Southampton,no,FALSE
42,0,3,male,,0,0,7.8958,C,Third,man,TRUE,,Cherbourg,no,TRUE
43,1,2,female,3.00,1,2,41.5792,C,Second,child,FALSE,,Cherbourg,yes,FALSE
44,1,3,female,19.00,0,0,7.8792,Q,Third,woman,FALSE,,Queenstown,yes,TRUE
45,0,3,male,,0,0,8.05,S,Third,man,TRUE,,Southampton,no,TRUE
46,0,3,male,,1,0,15.5,Q,Third,man,TRUE,,Queenstown,no,FALSE
47,1,3,female,,0,0,7.75,Q,Third,woman,FALSE,,Queenstown,yes,TRUE
48,0,3,male,,2,0,21.6792,C,Third,man,TRUE,,Cherbourg,no,FALSE
49,0,3,female,18.00,1,0,17.8,S,Third,woman,FALSE,,Southampton,no,FALSE
50,0,3,male,7.00,4,1,39.6875,S,Third,child,FALSE,,Southampton,no,FALSE
51,0,3,male,21.00,0,0,7.8,S,Third,man,TRUE,,Southampton,no,TRUE
52,1,1,female,49.00,1,0,76.7292,C,First,woman,FALSE,D,Cherbourg,yes,FALSE
53,1,2,female,29.00,1,0,26,S,Second,woman,FALSE,,Southampton,yes,FALSE
54,0,1,male,65.00,0,1,61.9792,C,First,man,TRUE,B,Cherbourg,no,FALSE
55,1,1,male,,0,0,35.5,S,First,man,TRUE,C,Southampton,yes,TRUE
56,1,2,female,21.00,0,0,10.5,S,Second,woman,FALSE,,Southampton,yes,TRUE
57,0,3,male,28.50,0,0,7.2292,C,Third,man,TRUE,,Cherbourg,no,TRUE
58,1,2,female,5.00,1,2,27.75,S,Second,child,FALSE,,Southampton,yes,FALSE
59,0,3,male,11.00,5,2,46.9,S,Third,child,FALSE,,Southampton,no,FALSE
60,0,3,male,22.00,0,0,7.2292,C,Third,man,TRUE,,Cherbourg,no,TRUE
61,1,1,female,38.00,0,0,80,,First,woman,FALSE,B,,yes,TRUE
62,0,1,male,45.00,1,0,83.475,S,First,man,TRUE,C,Southampton,no,FALSE
63,0,3,male,4.00,3,2,27.9,S,Third,child,FALSE,,Southampton,no,FALSE
64,0,1,male,,0,0,27.7208,C,First,man,TRUE,,Cherbourg,no,TRUE
65,1,3,male,,1,1,15.2458,C,Third,man,TRUE,,Cherbourg,yes,FALSE
66,1,2,female,29.00,0,0,10.5,S,Second,woman,FALSE,F,Southampton,yes,TRUE
67,0,3,male,19.00,0,0,8.1583,S,Third,man,TRUE,,Southampton,no,TRUE
68,1,3,female,-17.00,4,2,7.925,S,Third,woman,FALSE,,Southampton,yes,FALSE
69,0,3,male,26.00,2,0,8.6625,S,Third,man,TRUE,,Southampton,no,FALSE
70,0,2,male,32.00,0,0,10.5,S,Second,man,TRUE,,Southampton,no,TRUE
71,0,3,female,16.00,5,2,46.9,S,Third,woman,FALSE,,Southampton,no,FALSE
72,0,2,male,21.00,0,0,73.5,S,Second,man,TRUE,,Southampton,no,TRUE
73,0,3,male,26.00,1,0,14.4542,C,Third,man,TRUE,,Cherbourg,no,FALSE
74,1,3,male,32.00,0,0,56.4958,S,Third,man,TRUE,,Southampton,yes,TRUE
75,0,3,male,25.00,0,0,7.65,S,Third,man,TRUE,F,Southampton,no,TRUE
76,0,3,male,,0,0,7.8958,S,Third,man,TRUE,,Southampton,no,TRUE
77,0,3,male,,0,0,8.05,S,Third,man,TRUE,,Southampton,no,TRUE
78,1,2,male,0.83,0,2,29,S,Second,child,FALSE,,Southampton,yes,FALSE
79,1,3,female,30.00,0,0,12.475,S,Third,woman,FALSE,,Southampton,yes,TRUE
80,0,3,male,22.00,0,0,9,S,Third,man,TRUE,,Southampton,no,TRUE
81,1,3,male,29.00,0,0,9.5,S,Third,man,TRUE,,Southampton,yes,TRUE
82,1,3,female,,0,0,7.7875,Q,Third,woman,FALSE,,Queenstown,yes,TRUE
83,0,1,male,28.00,0,0,47.1,S,First,man,TRUE,,Southampton,no,TRUE
84,1,2,female,17.00,0,0,10.5,S,Second,woman,FALSE,,Southampton,yes,TRUE
85,1,3,female,33.00,3,0,15.85,S,Third,woman,FALSE,,Southampton,yes,FALSE
86,0,3,male,16.00,1,3,34.375,S,Third,man,TRUE,,Southampton,no,FALSE
87,0,3,male,,0,0,8.05,S,Third,man,TRUE,,Southampton,no,TRUE
88,1,1,female,23.00,3,2,263,S,First,woman,FALSE,C,Southampton,yes,FALSE
89,0,3,male,24.00,0,0,8.05,S,Third,man,TRUE,,Southampton,no,TRUE
90,0,3,male,29.00,0,0,8.05,S,Third,man,TRUE,,Southampton,no,TRUE
91,0,3,male,20.00,0,0,7.8542,S,Third,man,TRUE,,Southampton,no,TRUE
92,0,1,male,-46.00,1,0,61.175,S,First,man,TRUE,E,Southampton,no,FALSE
93,0,3,male,26.00,1,2,20.575,S,Third,man,TRUE,,Southampton,no,FALSE
94,0,3,male,59.00,0,0,7.25,S,Third,man,TRUE,,Southampton,no,TRUE
95,0,3,male,,0,0,8.05,S,Third,man,TRUE,,Southampton,no,TRUE
96,0,1,male,71.00,0,0,34.6542,C,First,man,TRUE,A,Cherbourg,no,TRUE
97,1,1,male,23.00,0,1,63.3583,C,First,man,TRUE,D,Cherbourg,yes,FALSE
98,1,2,female,34.00,0,1,23,S,Second,woman,FALSE,,Southampton,yes,FALSE
99,0,2,male,34.00,1,0,26,S,Second,man,TRUE,,Southampton,no,FALSE
100,0,3,female,28.00,0,0,7.8958,S,Third,woman,FALSE,,Southampton,no,TRUE
101,0,3,male,,0,0,7.8958,S,Third,man,TRUE,,Southampton,no,TRUE
102,0,1,male,21.00,0,1,77.2875,S,First,man,TRUE,D,Southampton,no,FALSE
103,0,3,male,33.00,0,0,8.6542,S,Third,man,TRUE,,Southampton,no,TRUE
104,0,3,male,37.00,2,0,7.925,S,Third,man,TRUE,,Southampton,no,FALSE
105,0,3,male,28.00,0,0,7.8958,S,Third,man,TRUE,,Southampton,no,TRUE
106,1,3,female,21.00,0,0,7.65,S,Third,woman,FALSE,,Southampton,yes,TRUE
107,1,3,male,,0,0,7.775,S,Third,man,TRUE,,Southampton,yes,TRUE
108,0,3,male,38.00,0,0,7.8958,S,Third,man,TRUE,,Southampton,no,TRUE
109,1,3,female,,1,0,24.15,Q,Third,woman,FALSE,,Queenstown,yes,FALSE
110,0,1,male,47.00,0,0,52,S,First,man,TRUE,C,Southampton,no,TRUE
111,0,3,female,14.50,1,0,14.4542,C,Third,child,FALSE,,Cherbourg,no,FALSE
112,0,3,male,22.00,0,0,8.05,S,Third,man,TRUE,,Southampton,no,TRUE
113,0,3,female,20.00,1,0,9.825,S,Third,woman,FALSE,,Southampton,no,FALSE
114,0,3,female,17.00,0,0,14.4583,C,Third,woman,FALSE,,Cherbourg,no,TRUE
115,0,3,male,21.00,0,0,7.925,S,Third,man,TRUE,,Southampton,no,TRUE
116,0,3,male,70.50,0,0,7.75,Q,Third,man,TRUE,,Queenstown,no,TRUE
117,0,2,male,29.00,1,0,21,S,Second,man,TRUE,,Southampton,no,FALSE
118,0,1,male,24.00,0,1,247.5208,C,First,man,TRUE,B,Cherbourg,no,FALSE
119,0,3,female,2.00,4,2,31.275,S,Third,child,FALSE,,Southampton,no,FALSE
120,0,2,male,21.00,2,0,73.5,S,Second,man,TRUE,,Southampton,no,FALSE
121,0,3,male,,0,0,8.05,S,Third,man,TRUE,,Southampton,no,TRUE
122,0,2,male,32.50,1,0,30.0708,C,Second,man,TRUE,,Cherbourg,no,FALSE
123,1,2,female,32.50,0,0,13,S,Second,woman,FALSE,E,Southampton,yes,TRUE
124,0,1,male,54.00,0,1,77.2875,S,First,man,TRUE,D,Southampton,no,FALSE
125,1,3,male,12.00,1,0,11.2417,C,Third,child,FALSE,,Cherbourg,yes,FALSE
126,0,3,male,,0,0,7.75,Q,Third,man,TRUE,,Queenstown,no,TRUE
127,1,3,male,24.00,0,0,7.1417,S,Third,man,TRUE,,Southampton,yes,TRUE
128,1,3,female,,1,1,22.3583,C,Third,woman,FALSE,F,Cherbourg,yes,FALSE
129,0,3,male,45.00,0,0,6.975,S,Third,man,TRUE,,Southampton,no,TRUE
130,0,3,male,33.00,0,0,7.8958,C,Third,man,TRUE,,Cherbourg,no,TRUE
131,0,3,male,20.00,0,0,7.05,S,Third,man,TRUE,,Southampton,no,TRUE
132,0,3,female,47.00,1,0,14.5,S,Third,woman,FALSE,,Southampton,no,FALSE
133,1,2,female,29.00,1,0,26,S,Second,woman,FALSE,,Southampton,yes,FALSE
134,0,2,male,25.00,0,0,13,S,Second,man,TRUE,,Southampton,no,TRUE
135,0,2,male,23.00,0,0,15.0458,C,Second,man,TRUE,,Cherbourg,no,TRUE
136,1,1,female,19.00,0,2,26.2833,S,First,woman,FALSE,D,Southampton,yes,FALSE
137,0,1,male,37.00,1,0,-53.1,S,First,man,TRUE,C,Southampton,no,FALSE
138,0,3,male,16.00,0,0,9.2167,S,Third,man,TRUE,,Southampton,no,TRUE
139,0,1,male,24.00,0,0,79.2,C,First,man,TRUE,B,Cherbourg,no,TRUE
140,0,3,female,,0,2,15.2458,C,Third,woman,FALSE,,Cherbourg,no,FALSE
141,1,3,female,22.00,0,0,7.75,S,Third,woman,FALSE,,Southampton,yes,TRUE
142,1,3,female,24.00,1,0,15.85,S,Third,woman,FALSE,,Southampton,yes,FALSE
143,0,3,male,19.00,0,0,6.75,Q,Third,man,TRUE,,Queenstown,no,TRUE
144,0,2,male,18.00,0,0,-11.5,S,Second,man,TRUE,,Southampton,no,TRUE
145,0,2,male,19.00,1,1,36.75,S,Second,man,TRUE,,Southampton,no,FALSE
146,1,3,male,27.00,0,0,7.7958,S,Third,man,TRUE,,Southampton,yes,TRUE
147,0,3,female,9.00,2,2,34.375,S,Third,child,FALSE,,Southampton,no,FALSE
148,0,2,male,36.50,0,2,26,S,Second,man,TRUE,F,Southampton,no,FALSE
149,0,2,male,42.00,0,0,13,S,Second,man,TRUE,,Southampton,no,TRUE
150,0,2,male,51.00,0,0,12.525,S,Second,man,TRUE,,Southampton,no,TRUE
151,1,1,female,22.00,1,0,66.6,S,First,woman,FALSE,C,Southampton,yes,FALSE
152,0,3,male,55.50,0,0,8.05,S,Third,man,TRUE,,Southampton,no,TRUE
153,0,3,male,40.50,0,2,14.5,S,Third,man,TRUE,,Southampton,no,FALSE
154,0,3,male,,0,0,7.3125,S,Third,man,TRUE,,Southampton,no,TRUE
155,0,1,male,51.00,0,1,61.3792,C,First,man,TRUE,,Cherbourg,no,FALSE
156,1,3,female,16.00,0,0,7.7333,Q,Third,woman,FALSE,,Queenstown,yes,TRUE
157,0,3,male,30.00,0,0,8.05,S,Third,man,TRUE,,Southampton,no,TRUE
158,0,3,male,,0,0,8.6625,S,Third,man,TRUE,,Southampton,no,TRUE
159,0,3,male,,8,2,69.55,S,Third,man,TRUE,,Southampton,no,FALSE
160,0,3,male,44.00,0,1,16.1,S,Third,man,TRUE,,Southampton,no,FALSE
161,1,2,female,40.00,0,0,15.75,S,Second,woman,FALSE,,Southampton,yes,TRUE
162,0,3,male,26.00,0,0,7.775,S,Third,man,TRUE,,Southampton,no,TRUE
163,0,3,male,17.00,0,0,8.6625,S,Third,man,TRUE,,Southampton,no,TRUE
164,0,3,male,1.00,4,1,39.6875,S,Third,child,FALSE,,Southampton,no,FALSE
165,1,3,male,9.00,0,2,20.525,S,Third,child,FALSE,,Southampton,yes,FALSE
166,1,1,female,,0,1,55,S,First,woman,FALSE,E,Southampton,yes,FALSE
167,0,3,female,45.00,1,4,27.9,S,Third,woman,FALSE,,Southampton,no,FALSE
168,0,1,male,,0,0,25.925,S,First,man,TRUE,,Southampton,no,TRUE
169,0,3,male,28.00,0,0,56.4958,S,Third,man,TRUE,,Southampton,no,TRUE
170,0,1,male,61.00,0,0,33.5,S,First,man,TRUE,B,Southampton,no,TRUE
171,0,3,male,4.00,4,1,29.125,Q,Third,child,FALSE,,Queenstown,no,FALSE
172,1,3,female,1.00,1,1,11.1333,S,Third,child,FALSE,,Southampton,yes,FALSE
173,0,3,male,-21.00,0,0,7.925,S,Third,man,TRUE,,Southampton,no,TRUE
174,0,1,male,56.00,0,0,30.6958,C,First,man,TRUE,A,Cherbourg,no,TRUE
175,0,3,male,18.00,1,1,7.8542,S,Third,man,TRUE,,Southampton,no,FALSE
176,0,3,male,,3,1,25.4667,S,Third,man,TRUE,,Southampton,no,FALSE
177,0,1,female,50.00,0,0,28.7125,C,First,woman,FALSE,C,Cherbourg,no,TRUE
178,0,2,male,30.00,0,0,13,S,Second,man,TRUE,,Southampton,no,TRUE
179,0,3,male,36.00,0,0,0,S,Third,man,TRUE,,Southampton,no,TRUE
180,0,3,female,,8,2,69.55,S,Third,woman,FALSE,,Southampton,no,FALSE
181,0,2,male,,0,0,15.05,C,Second,man,TRUE,,Cherbourg,no,TRUE
182,0,3,male,9.00,4,2,31.3875,S,Third,child,FALSE,,Southampton,no,FALSE
